Original1,1,"Chromosome 1"
Original2,2,"Chromosome 2"
Original3,3,"Chromosome 3"
Original4,4,"Chromosome 4"
Original5,5,"Chromosome 5"
Original6,6,"Chromosome 6"
Original7,7,"Chromosome 7"
Original8,8,"Chromosome 8"
Original9,9,"Chromosome 9"
Original10,10,"Chromosome 10"
Original11,11,"Chromosome 11"
Original12,12,"Chromosome 12"
Original13,13,"Chromosome 13"
Original14,14,"Chromosome 14"
Original15,15,"Chromosome 15"
Original16,16,"Chromosome 16"
Original17,17,"Chromosome 17"
Original18,18,"Chromosome 18"
Original19,19,"Chromosome 19"
Original20,20,"Chromosome 20"
Original21,21,"Chromosome 21"
Original22,22,"Chromosome 22"
Original23,23,"Chromosome 23"
Original24,24,"Chromosome 24"
Original25,25,"Chromosome 25"
Original26,26,"Chromosome 26"
Original27,27,"Chromosome 27"
Original28,28,"Chromosome 28"
Original29,29,"Chromosome 29"
Original30,30,"Chromosome 30"
Original31,31,"Chromosome 31"
Original32,32,"Chromosome 32"
Original33,33,"Chromosome 33"
Original34,34,"Chromosome 34"
Original35,35,"Chromosome 35"
Original36,36,"Chromosome 36"
Original37,37,"Chromosome 37"
OriginalW,W,"Chromosome W"
OriginalZ,Z,"Chromosome Z"
OriginalMT,MT,"mtDNA"
